name;id
Santiago;1914
Francisco;1772
João;1708
Afonso;1479
Rodrigo;1420
Martim;1334
Tomás;1257
Duarte;1220
Miguel;1201
Gabriel;1182
Lourenço;1115
Gonçalo;1070
Dinis;1034
Guilherme;1008
Pedro;996
Salvador;907
Rafael;899
Lucas;893
Tiago;855
Gustavo;795
Diogo;767
Vicente;718
José;703
David;626
Mateus;618
Simão;596
António;532
Diego;532
Manuel;529
Henrique;509
Daniel;472
Vasco;456
Bernardo;446
Enzo;413
André;399
Leonardo;397
Luís;317
Isaac;316
Eduardo;288
Alexandre;260
Kevin;234
Matias;232
Leandro;209
Filipe;203
Xavier;184
Rúben;183
Samuel;173
Ricardo;168
Artur;165
Valentim;162
Frederico;153
Lorenzo;145
Bryan;139
Bruno;138
Nuno;132
Benjamim;130
Carlos;128
Sebastião;123
Rui;119
Davi;108
Hugo;106
Noah;98
Joaquim;85
Mário;80
Tomé;80
Fábio;70
Paulo;68
Manel;67
Renato;66
Jorge;65
Jaime;63
Marco;61
Ângelo;57
Micael;55
Liam;53
Ivan;52
Matheus;52
William;50
Gaspar;49
Cristiano;48
Luca;46
Jonathan;46
Sérgio;43
Gil;43
Ivo;41
Brian;39
Arthur;39
Christian;39
Vítor;38
Yuri;37
Fernando;36
Dilan;36
Romeu;36
Caio;35
Isac;34
Emanuel;34
Sandro;34
Igor;33
Moisés;33
Mauro;31
César;31
Josué;31
Edgar;31
Elias;31
Victor;30
Joel;30
Alex;28
Telmo;28
Denis;27
Marcelo;27
Adrien;27
Álvaro;27
Dylan;27
Raúl;27
Muhammad;26
Nelson;26
Dário;26
Oliver;26
Thiago;26
Ismael;25
Márcio;24
Ian;24
Lisandro;24
Erik;23
Cláudio;23
Heitor;23
Martinho;23
Leo;22
Jonas;22
Wilson;22
Júlio;21
Caetano;21
Benjamin;21
Adriano;21
Raphael;21
Augusto;21
Martin;20
Marcos;20
Eric;20
Flávio;20
Mikael;18
Erick;18
Jason;18
James;18
Danilo;17
Adam;17
Levi;16
Mateo;16
Kelvin;16
Nicolas;16
Sebastian;16
Cauã;16
Thomas;15
Isaque;15
Misael;15
Alberto;15
Israel;15
Edson;15
Luan;15
Lukas;15
Mark;15
Ruben;14
Adriel;14
Jesus;14
Domingos;14
Denzel;13
Apolo;13
Ary;13
Alan;13
Nicolau;13
Alfredo;13
Kévim;12
Axel;12
Patrick;12
Giovani;12
Gerson;12
Aron;12
Luis;12
Leonel;12
Wesley;11
Ari;11
Roberto;11
Hélder;11
Vitor;11
Fausto;11
Joshua;11
Gael;11
